,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
5374,1,0,1,0,0,0,0,1,1,0,1,10,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,0,26,2,98.50746268656717,1.0,0.0,1,1.0,-1,0,1,-1,0,-1,1,0,csasmc.org/FAQ/hospitalquestions.htm,44,1,-1,-1,0,0,0,0
5375,1,0,1,0,0,0,0,1,-1,0,0,19,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,0,12,1,25.0,0.0,100.0,-1,0.0,-1,0,1,-1,0,-1,1,0,daytontriangles.com/partlow.htm,39,1,-1,-1,0,0,0,0
5376,-1,0,0,0,0,0,0,0,-1,0,1,24,0,-1,0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,16,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,collectibleclothing.info/victorian-lady/,47,1,-1,-1,0,0,0,0
5377,1,0,1,0,0,0,1,-1,0,0,0,18,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,0,14,2,96.96969696969697,0.0,100.0,-1,0.0,-1,0,0,-1,0,-1,1,0,desjardinsbank.com/en/index.html,40,1,-1,-1,0,0,0,0
5378,1,0,1,0,0,0,1,-1,1,0,1,20,0,1,0,1,0,0.0,1,0,8,0,1,0,19,0,0,0,1,72,4,1.0,0.0,1.0,1,0.0,-1,0,0,-1,0,-1,1,0,coonsphotography.com/Btw/BTW-June-28-2008-Danbury-CT/BTW-080628-LuFisto-Justin/5292026_zNmXh,100,-1,-1,-1,0,0,0,0
5379,1,0,1,0,0,0,1,1,0,0,0,17,0,1,0,1,0,0.0,1,0,7,0,2,0,5,0,0,1,0,105,9,80.96676737160121,0.0,83.33333333333334,-1,0.0,-1,0,0,-1,0,-1,1,0,delawaretoday.com/Delaware-Today/Delaware-Resources/Health-Fitness-and-Beauty/index.php/name/Rocca-Peter-MD/listing/32043/,130,-1,-1,-1,0,0,0,0
5380,-1,0,0,0,0,0,1,0,-1,0,1,10,0,-1,0,0,0,1.0,0,0,0,0,3,0,0,0,0,0,0,23,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,dd.anl.gov/ddtraining/letter.html,40,1,-1,-1,0,0,0,0
5381,1,0,1,0,0,0,1,1,0,0,0,21,0,1,0,1,0,0.0,1,0,1,0,1,0,4,0,0,0,0,33,3,61.34020618556701,0.0,100.0,-1,0.0,-1,0,0,-1,0,-1,1,0,desmoinesregister.com/section/SPORTS0205/Iowa-Hawkeyes,62,1,-1,-1,0,0,0,0
5382,1,0,1,0,0,0,1,1,0,0,0,18,0,1,0,1,0,0.0,1,0,2,0,1,0,0,0,0,0,0,32,2,43.07692307692308,0.0,70.0,-1,0.0,-1,0,1,-1,0,-1,1,0,cyclonefanatic.com/football/blum-adjustment-bureau,58,1,-1,-1,0,0,0,0
5383,1,0,1,0,0,0,0,-1,-1,0,0,16,0,1,1,1,0,0.0,1,0,5,0,1,0,0,0,0,0,0,41,1,35.8974358974359,0.0,33.33333333333333,0,0.0,-1,0,1,-1,0,-1,1,0,culturebully.com/everlast-records-saving-grace-theme-song,65,1,-1,-1,0,0,0,0
